epoch,train_loss,train_iou,val_loss,val_iou
1,1.639055848121643,0.007706138398498296,1.5814061562220256,0.11156815119708578
2,1.528701078891754,0.02107426038128324,1.5019073486328125,0.019976714936395485
3,1.4427780270576478,0.028992604922079425,1.405431826909383,0.004784351913258433
4,1.3910068273544312,0.016469604595158237,1.3566641012827556,7.23687958064841e-05
5,1.3655320167541505,0.029814759418024805,1.4327106078465779,0.1558187132080396
6,1.3593236923217773,0.034748478785081305,1.327594478925069,0.0006968729180864367
7,1.3379390954971313,0.03773372540555482,1.3229569991429646,3.362161020368145e-09
8,1.3306690454483032,0.019819722293262298,1.3281177679697673,0.007085909699935833
9,1.3227996230125427,0.04713446638339012,1.31113596757253,3.362161020368145e-09
10,1.312490737438202,0.02697383788280865,1.3101670344670613,3.362161020368145e-09
11,1.3070164799690247,0.012763844352526888,1.3058543999989827,0.02122913361718526
12,1.2996996641159058,0.021334310352460067,1.3091606696446736,3.362161020368145e-09
13,1.2869409799575806,0.03880865447558702,1.2932413419087727,0.005384573966800292
14,1.284200704097748,0.010465477714614313,1.296962817509969,0.007030428330639123
15,1.277562415599823,0.031350610929910074,1.2929563124974568,0.07272620160670822
16,1.2820419907569884,0.04156914915755413,1.2979249556859334,0.003455385198731342
17,1.2748955249786378,0.016448722694932937,1.2841001749038696,0.010531176756361246
18,1.272131657600403,0.015400734105470904,1.2823126713434856,0.007155812288859605
19,1.259714412689209,0.043148676906982944,1.2997006972630818,3.362161020368145e-09
20,1.259930670261383,0.04173664242616426,1.2938468058904011,3.362161020368145e-09
21,1.2494868993759156,0.02225119840443306,1.282809058825175,0.08668101937913202
22,1.243474507331848,0.028695012101387828,1.2862433592478435,0.00014416350718438053
23,1.2374287366867065,0.04347371822043109,1.2803798913955688,0.0031081151893130135
24,1.2364785194396972,0.04287253271973672,1.2813786268234253,0.005797543506363152
25,1.2302476048469544,0.03345391779306248,1.2917287349700928,3.362161020368145e-09
26,1.2256574988365174,0.03098014576993404,1.2813400427500408,0.0012938509284596833
27,1.2233595609664918,0.03551677412217484,1.2747776110967,0.0030553542132567557
28,1.2180720329284669,0.034347255668178825,1.247090458869934,0.040234856449984514
29,1.2132047176361085,0.04227173151288466,1.2633672555287678,0.009991879776338678
30,1.211257815361023,0.03238609882069861,1.2754619518915813,3.362161020368145e-09
31,1.20637948513031,0.0281097247358451,1.27907927831014,3.3621598818113032e-09
32,1.2020399570465088,0.03811841971468679,1.2622832854588826,0.017094118390269013
33,1.1975785136222838,0.03626718680526593,1.2605510552724202,0.007585289210616668
34,1.1955960631370544,0.027269072445685504,1.2696385383605957,3.362161020368145e-09
35,1.1911754727363586,0.05791410458464223,1.2753734191258748,3.362161020368145e-09
36,1.1872772693634033,0.043115444649635994,1.2542158365249634,0.03604747980306507
37,1.1849412202835083,0.031159454829114464,1.2551562388737996,0.07183420028928511
38,1.1803426265716552,0.04703567581280847,1.2548460960388184,0.07578234983961685
39,1.177655005455017,0.08114174574143211,1.2369493246078491,0.038952863962506155
40,1.1754602909088134,0.06496066336509392,1.2404892047246296,0.028362796204189245
41,1.1742879390716552,0.05457734762671176,1.2445813417434692,0.0263149845812413
42,1.1672544598579406,0.05703935856310789,1.233138879140218,0.12881811535720292
43,1.1725188493728638,0.014376975457164477,1.2477632363637288,0.020830223156830547
44,1.1664189100265503,0.03144897434593097,1.2662246624628704,0.0006196472305572224
45,1.162039577960968,0.009171841827443128,1.2414176066716511,0.021885815460973568
46,1.1556836009025573,0.05674003351157571,1.239228367805481,0.023924547540591885
47,1.1503273487091064,0.057116989437456876,1.2555999755859375,0.009751776487170774
48,1.1503556370735168,0.03746748783134925,1.2769210735956829,3.362161020368145e-09
49,1.147848665714264,0.049913423864004616,1.2445962031682332,0.022689773023664078
50,1.1455531001091004,0.05927471319523832,1.2312239408493042,0.03159514860192111
51,1.142410433292389,0.04144097606284475,1.251034180323283,0.010199921459495146
52,1.1374170899391174,0.05068507124332546,1.2573074499766033,0.008724654343609176
53,1.1353628993034364,0.08042207787342939,1.2794454495112102,3.362161020368145e-09
54,1.1304671883583068,0.06444580313175179,1.2248375018437703,0.03719346272091081
55,1.1284472703933717,0.07388890704594539,1.256174127260844,0.011411877182438449
56,1.1274442315101623,0.05728809448373244,1.2821359634399414,3.362161020368145e-09
57,1.1283358573913573,0.044035005920139716,1.158247709274292,0.15145989096102616
58,1.122761595249176,0.06108694974771824,1.2550508975982666,0.01999920901859135
59,1.119410216808319,0.05596938912322513,1.2563245296478271,0.030332485674444982
60,1.1133474826812744,0.06353167185832924,1.2176498572031658,0.07137515255172906
